City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mandan,46.8267,-100.8896,17.56,60,0,2.57,US,1686540638
1,Vilyuchinsk,52.9306,158.4028,23.15,52,87,1.49,RU,1686540638
2,Balyqshy,47.0667,51.8667,28.0,20,40,8.0,KZ,1686540638
3,Anadyr,64.75,177.4833,11.28,58,0,4.0,RU,1686540638
4,Shalqar,47.8333,59.6,28.89,16,100,6.21,KZ,1686540638
5,Praia da Vitória,38.7333,-27.0667,19.14,88,20,7.3,PT,1686540639
6,Glace Bay,46.1969,-59.957,12.1,92,75,4.63,CA,1686540639
7,St. John's,47.5649,-52.7093,7.04,95,100,13.38,CA,1686540495
8,Saint-Benoît,-21.038,55.7194,22.06,76,38,2.38,RE,1686540639
9,Dzhezkazgan,47.7833,67.7667,23.32,27,0,6.0,KZ,1686540639
10,Sydney Mines,46.2367,-60.2177,12.32,89,75,4.63,CA,1686540640
11,Mandalgovi,45.7625,106.2708,23.39,26,2,4.08,MN,1686540640
12,Luchegorsk,46.4764,134.2569,23.91,57,100,1.99,RU,1686540640
13,Petropavlovsk-Kamchatskiy,53.0452,158.6483,22.33,31,20,7.0,RU,1686540634
14,Rabo de Peixe,37.8,-25.5833,17.73,82,20,3.6,PT,1686540640
15,Ocean Shores,46.9737,-124.1563,17.47,88,0,2.68,US,1686540396
16,Khovd,48.0056,91.6419,27.25,27,21,2.95,MN,1686540641
17,Presque Isle,46.6811,-68.0159,15.66,87,0,0.45,US,1686540641
18,Huanan,46.2167,130.5167,22.25,56,100,2.58,CN,1686540641
19,Gorodoviki,46.1353,41.9656,19.45,78,72,1.98,RU,1686540641
20,Sondrio,46.169,9.8692,19.41,97,71,0.41,IT,1686540642
21,Altai,46.3722,96.2583,25.26,18,4,5.28,MN,1686540642
22,Bethel,41.3712,-73.414,20.36,76,75,3.6,US,1686540495
23,Choibalsan,48.0667,114.5,25.97,28,11,2.92,MN,1686540642
24,Sal'sk,46.4725,41.5428,18.14,79,89,2.92,RU,1686540642
25,Ulanhot,46.0833,122.0833,23.07,45,87,6.91,CN,1686540642
26,Sitka,57.0531,-135.33,10.94,87,100,6.69,US,1686540643
27,Qulsary,46.9531,54.0198,30.31,13,76,7.24,KZ,1686540643
28,Miquelon,47.0975,-56.3814,10.0,87,36,11.14,PM,1686540643
29,Tolmezzo,46.4075,13.0175,15.79,93,0,3.04,IT,1686540643
30,Glendive,47.1053,-104.7125,19.79,48,0,3.6,US,1686540644
